ID,Prompt,BG Image,Button Strings,,,,,,,
A,"BEEP 
BEEP 
BEEP 
You awake from your standard 4 hours of sleep and see the tip of the sun peeking above the horizon illuminating your room and scorching your optic nerves. You woke up pretty late and you know the big yellow vehicle that takes you to school will be arriving soon but you are hungry. 
What will you do?",A.PNG,B,Risk missing the big yellow vehicle and eat breakfast then run to the bus stop,C,Skip breakfast and run to the Big yellow vehicle stop,,,,
B,"You fry an egg at maximum heat, almost burning it to a crisp. You scarf that egg down. As you step out of the house then remember you forgot your phone’s power pack and coat.",B.PNG,D,Just leave the power pack and coat at home and try to catch the bus,E,Grab the power pack and coat then try to catch the bus,,,,
E,"You grab your power pack and coat then run to the bus stop at full speed. As the bus stop becomes visible you witness the big yellow vehicle leaving the stop. Panting, sweaty, and out of breath you turn around and walk home so you can pester your mother for a ride. She drives you to school.",E.PNG,F,Next,,,,,,
D,You leave your power pack and coat at home because you decide it is the only way you can catch the bus. You run to the bus stop at full speed. As the bus stop becomes visible you witness the bus just about to arrive at the stop. You make it just in time,D.PNG,F,Next,,,,,,
C,It’s time to skip breakfast to catch the big yellow vehicle to go to school. Just your average morning.,C.PNG,F,Next,,,,,,
F,You arrive at school and see all of your classmates all dressed up. OH SHOOT. A realization hits you like a brick wall. There is a field trip to A Place in the middle of nowhere inc and a presentation upon arrival. You completely forgot about this trip and didn’t prepare in the slightest for it.,F.PNG,G,Try to think of a way to weasel your way out of going and/or at least presenting,H,Go on the field trip and improvise your presentation on the spot,,,,
G,"But how could you get out of this...? That's it! You decide to get into the most trouble possible. Suddenly, you see your classmate, Joosh Lamp.",,M,Flirt with him,,,,,,
M,"""Hey, baby,"" you say, along with a slew of other phrases you push out of your trachea at the expense of your pride. Joosh Lamp effectively rejects your advances by ignoring you.",,K,Screech at the top of your lungs,L,Tell on him,I,Flirt again,J,Give up
J,"You sit down and bury your face in your homework after sufficiently embarrassing yourself. ""It's time for the field trip everyone!"" your advisor calls, as you purge that memory from the deepest folds of your neurological tissue. You board the bus promptly.",,N,Next,,,,,,
K,"For no apparent reason, you let out a viscous howl powerful enough to summon the demon overlord Cthulu himself. Your advisor sends you directly to the principal's office.",K.PNG,Q,Next,,,,,,
I,Your advisor sees your advances on Joosh Lamp and sends you directly to the principal's office.,K.PNG,Q,Next,,,,,,
L,You accuse Joosh of flirting with you to your advisor. Joosh gets sent to the principal's office instead of you. So much for that idea...,N.PNG,N,Next,,,,,,
Q,You escaped the field trip and were instructed to go to the Principal's office. As you exit Advisory you get a crazy urge to skip going to the principal's office and screw around instead.,XYZ.PNG,S,Go straight to the Office,W,Screw around instead,,,,
N,It is time to go on the field trip. You are one of the last people to get on the bus. The only open seat is next to someone you generally dislike. What should you do?,R.PNG,ZZ,Be polite and sit next to the person you do not like,U,Awkwardly ask someone to move so you can sit next to your friend,,,,
U,"You awkwardly ask one of your classmates to move so you can sit next to your friend and your classmate gladly moves. As the bus heads towards the destination, you and your friend chitter chatter. At one point another one of your friends throws a crushed ball of paper at your head. You want to catch them by surprise.",AAA.PNG,CCC,Instantly throw the ball back at them as fast as possible,CCC,Wait until they turn aroud the throw it at him.,,,,
ZZ,You do not want to be rude so you suck it up and sit next to this person. As the bus leaves the school you and this person make small talk but ultimately you get bored and fall asleep.,ZZ.PNG,BBB,Next,,,,,,
CCC,Direct hit! You hit them right in the noggin. The bus driver sees the ball of paper out of the corner of her eye and she gets distracted and swerves a bit. This makes everyone on the bus unsettled. The bus driver asks you and your friend to not do that again. You feel really bad for what happened.,CCC.PNG,DDD,Apologize to the bus driver,EEE,Get embarrassed and shrink down in your seat,,,,
